            ID,Authors,Title,Venue,Year,Search_string,v1_decision,v1_reason
1,"Ceka, Ira; Pujar, Saurabh; Manotas, Irene; Kaiser, Gail E.; Ray, Baishakhi; Ramji, Shyam",Code Reasoning for Software Engineering Tasks: A Survey and A Call to Action,https://api.semanticscholar.org/CorpusID:279410036,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
2,"Bahaweres, Rizal Broer; Hasanah, Nurul","GUI Test Automation Studies: Selenium IDE, Uipath Studio, Katalon Studio",https://api.semanticscholar.org/CorpusID:284160819,2025,String 2,INCLUDE,"IC1, IC2, IC3, IC4"
3,"Tang, Yuheng; Zhu, Kaijie; Ruan, Bonan; Zhang, Chuqi; Yang, Michael; Li, Hongwei; Guo, Suyue; Shi, Tianneng; Li, Zekun; Kruegel, Christopher; Vigna, Giovanni; Song, Dawn Xiaodong; Wang, William Yang; Wang, Lun; Ding, Yangruibo; Liang, Zhenkai; Guo, Wenbo",DevOps-Gym: Benchmarking AI Agents in Software DevOps Cycle,https://api.semanticscholar.org/CorpusID:285140944,2026,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
4,"Raju, Sothy Sundara; Leong, Wai Yie",Modernizing Testing: A Comparative Review of Test Automation Frameworks and AI Tools,https://api.semanticscholar.org/CorpusID:277694316,2025,String 2,INCLUDE,"IC1, IC2, IC3, IC4"
5,"He, Zhongmou; Choi, Yee Man; Zhang, Kexun; Ji, Jiabao; Zhou, Junting; Xu, Dejia; Bercovich, Ivan; Zhang, Aidan; Li, Lei",HardTests: Synthesizing High-Quality Test Cases for LLM Coding,https://api.semanticscholar.org/CorpusID:279070323,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
6,"Garg, Shankar",Cucumber Cookbook,https://api.semanticscholar.org/CorpusID:86720188,2015,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
7,"Fernandes, Hiago; Perkusich, Mirko Barbosa; Albuquerque, Danyllo Wagner; Silva, Izabella; Santos, Danilo F. S.; Gorgônio, Kyller Costa; Perkusich, Angelo",A Comparative Study of LLMs for Gherkin Generation,https://api.semanticscholar.org/CorpusID:281966836,2025,String 1,INCLUDE,"IC1, IC2, IC3, IC4"
8,"Mughal, Ali Hassaan; Fatima, Noor; Bilal, Muhammad",Mining Subscenario Refactoring Opportunities in Behaviour-Driven Software Test Suites: ML Classifiers and LLM-Judge Baselines,https://api.semanticscholar.org/CorpusID:288254584,2026,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
9,"Bruches, Elena; Grebenkin, Daniil; Klementev, Mikhail; Alperovich, Vadim; Derunets, Roman; Baturova, Dari; Mkrtchyan, Georgy; Sedukhin, Oleg; Bondarenko, Ivan; Bushkov, Nikolay; Moiseev, Stanislav",RM -RF: Reward Model for Run-Free Unit Test Evaluation,https://api.semanticscholar.org/CorpusID:284911888,2026,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
10,"Celik, Arda; Mahmoud, Qusay H.",A Review of Large Language Models for Automated Test Case Generation,https://api.semanticscholar.org/CorpusID:281275107,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
11,"Liu, Mingwei; Li, Juntao; Wang, Ying; Du, Xueying; Ou, Zuoyu; Chen, Qiuyuan; An, Bingxu; Wei, Zhao; Xu, Yong; Zou, Fang; Peng, Xing; Lou, Yiling",Code Copycat Conundrum: Demystifying Repetition in LLM-based Code Generation,https://api.semanticscholar.org/CorpusID:277857100,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
12,"Taherkhani, Hamed; Shin, Jiho; Tahir, Muhammad; Misu, Md Rakib Hossain; Gattani, Vineet Sunil; Hemmati, Hadi",Toward Automated Validation of Language Model Synthesized Test Cases Using Semantic Entropy,https://api.semanticscholar.org/CorpusID:273993533,2024,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
13,"Ma, Zihan; Zhang, Taolin; Cao, Maosong; Liu, Jun'nan; Zhang, Wenwei; Luo, Minnan; Zhang, Songyang; Chen, Kai",Rethinking Verification for LLM Code Generation: From Generation to Testing,https://api.semanticscholar.org/CorpusID:280148677,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
14,"Liang, Yunhao; Ying, Ruixuan; Taniguchi, Takuya; Lyu, Guwen; Cui, Zhe",HyClone: Bridging LLM Understanding and Dynamic Execution for Semantic Code Clone Detection,https://api.semanticscholar.org/CorpusID:280421427,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
15,"Lim, Soohan; Hahn, Joonghyuk; Park, Hyunwoo; Ko, Sang-Ki; Han, Yo-Sub",ContractEval: A Benchmark for Evaluating Contract-Satisfying Assertions in Code Generation,https://api.semanticscholar.org/CorpusID:282064465,2025,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
16,"Mughal, Ali Hassaan",Advancing BDD Software Testing: Dynamic Scenario Re-Usability And Step Auto-Complete For Cucumber Framework,https://api.semanticscholar.org/CorpusID:267938715,2024,"String 1, String 3",INCLUDE,"IC1, IC2, IC3, IC4"
17,"Walczak, Jakub; Tomalak, Piotr; Laskowski, Artur",Impact of Code Context and Prompting Strategies on Automated Unit Test Generation with Modern General-Purpose Large Language Models,https://api.semanticscholar.org/CorpusID:280256801,2025,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
18,"Tiwari, Sujeet Kumar",Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,https://api.semanticscholar.org/CorpusID:284291269,2025,"String 1, String 3",INCLUDE,"IC1, IC2, IC3, IC4"
19,"Ouyang, Shuyin; Zhang, Jie M.; Gong, Jing; Jahangirova, Gunel; Mousavi, Mohammad Reza; Johns, John E.; Lee, Beum-Seuk; Zió?kowski, Adam; Virginas, Botond; Noppen, Joost",Benchmarking and Evaluating VLMs for Software Architecture Diagram Understanding,https://api.semanticscholar.org/CorpusID:287201246,2026,Exclude,EXCLUDE,EC4
20,"Kasaram, Chiranjeevulu Reddy",Structuring Reusable API Testing Frameworks with Cucumber-BDD and REST Assured,https://api.semanticscholar.org/CorpusID:282351146,2023,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
21,"Mughal, Ali Hassaan; Bilal, Muhammad",Software Testing at the Network Layer: Automated HTTP API Quality Assessment and Security Analysis of Production Web Applications,https://api.semanticscholar.org/CorpusID:285452534,2026,Exclude,INCLUDE,"IC1, IC2, IC3, IC4"
22,"Wang, Wenhan; Yang, Chenyuan; Wang, Zhijie; Huang, Yuheng; Chu, Zhaoyang; Song, Da; Zhang, Lingming; Chen, An Ran; Ma, Lei",TESTEVAL: Benchmarking Large Language Models for Test Case Generation,https://api.semanticscholar.org/CorpusID:270357873,2024,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
23,"Thai, Minh-Tin; Le, Tue; M?nh, D?ng Nguy?n; Nhat, Huy Phan; Bui, Nghi D. Q.",SWE-EVO: Benchmarking Coding Agents in Long-Horizon Software Evolution Scenarios,https://api.semanticscholar.org/CorpusID:284077594,2025,String 3,INCLUDE,"IC1, IC2, IC3, IC4"
