story_id,source_file,domain,complexity,role,goal,benefit,connextra_valid,expected_test_scenarios,annotator_1_score,annotator_2_score,agreed_score,notes
US002,g04-recycling.txt,Recycling & Facilities,Complex,user,to be able to check transaction history and keep a record of it,I can go back when needed.,Yes,View transaction history with list of past transactions; Filter by date or type; Export or download record; Empty state when no transactions exist,3,3,3,"Goal 'check transaction history and keep a record' is vague — no format, filter, or time range specified. Benefit is weak ('when needed'). Testable in basic form but edge cases unclear."
US006,g08-frictionless.txt,Data Packaging,Medium,Researcher,an app that generates an OpenRefine reconciliation API endpoint from a Tabular Data Package,I can use it to clean messy data.,Yes,App generates valid OpenRefine endpoint from a data package; Invalid data package returns error; Endpoint accessible and returns expected format; Messy data can be cleaned via the endpoint,3,2,2,Highly technical story; role 'Researcher' vague — not a system actor. Benefit is measurable ('clean messy data') but goal is too implementation-specific for a user story. Annotator 2 flagged missing acceptance criteria scope.
US007,g08-frictionless.txt,Data Packaging,Complex,developer,an DSpace integration,I can integrate data-packaged data with pipelines that use Dspace.,Yes,DSpace integration connects successfully; Data package imported via DSpace pipeline; Integration fails gracefully with error message; Data integrity preserved after import,2,2,2,"Goal 'an DSpace integration' is a feature request, not a user goal — grammatically incorrect ('an DSpace') and too broad. Benefit is minimal ('integrate with pipelines'). Low testability without sub-stories."
US008,g04-recycling.txt,Recycling & Facilities,Complex,user,to be able to browse through the list of facolities and see which ones are environment-friendly,I can know for sure my waste is not going to leave a negative ecological footprint.,Yes,Browse facility list with ecological rating visible; Filter facilities by ecological impact; Facility detail shows waste disposal method; User can confirm facility meets environmental standard,4,3,4,Meaningful civic story; typo ('facolities') noted. Benefit about ecological impact is clear and testable. Annotator 2 noted goal is compound — 'browse AND see' should be split.
US009,g24-unibath.txt,University Research Archive,Complex,depositor,to link datasets with the project DMP,compliance with DMP can be demonstrated and whole project workflow is linked together.,Yes,Dataset links to DMP successfully; Link visible in both dataset and DMP records; Unlinking removes the association; DMP compliance status updated after link,4,4,4,Clear data management story; compliance angle makes benefit concrete. Linkage and unlinkage both testable. Domain (research data) may require specialist knowledge to evaluate fully.
US015,g03-loudoun.txt,Government Services,Complex,Applicant,to Complete Building Development Project,I can receive any posted bond and/or obtain occupancy.,Yes,Application form submission triggers project completion step; System validates required fields before completion; Bond released on successful completion; Occupancy permit issued after approval,3,2,2,Goal 'Complete Building Development Project' is extremely vague — could mean dozens of sub-tasks. Benefit (bond + occupancy) is concrete but story is too high-level to generate focused acceptance tests. Annotator 2 marked as needs decomposition.
US016,g21-badcamp.txt,Conference Management,Complex,anonymoususer,"to have the training options clearly marked for the following information: day and time of training, title, short summary, trainers, level, number of registrations, remaining registrations, location of training, link to full details of the training, register now link",I can shop for training all with one page AND find their class on on one page.,Yes,"Training page shows all options (name, cost, dates, location, skill level, prerequisites); All classes on one page with filtering; Clicking class links to detailed class page; Page loads correctly without sign-in",4,4,4,Good story with multiple concrete data fields in goal. Benefit (shop + find on one page) is dual but both are measurable. Some ambiguity around 'clearly marked' — needs definition of done.
US018,g02-federalspending.txt,Federal Spending,Simple,Agency user,to accurately see who created a submission,I'm not confused about who last updated a submission.,Yes,Submission creator name is displayed correctly; Last updated user is shown distinctly from creator; Submission history shows both create and update events; No confusion when same user creates and updates,4,4,4,"Simple, clear story about data provenance. Benefit ('not confused') is business-meaningful and testable. Edge case: same user creates and updates — needs explicit test."
US035,g10-scrumalliance.txt,Agile / Scrum,Complex,trainer,to copy one of my courses or events,I can create a new one.,Yes,"Copied course retains all fields (name, date, description, fee); Copied event appears as a new draft, not published; Original course/event unchanged after copy; Trainer can edit the copy independently",5,5,5,"Concise, unambiguous CRUD copy story. Role (trainer), goal (copy), benefit (create new) all clear. Positive and negative paths easy to derive. High testability."
US041,g05-openspending.txt,Open Data Publishing,Complex,Data Consuming User,to see textual descriptions that accompany embedded visualisations,I can more easily understand what I am viewing.,Yes,Visualisation displayed with accompanying text description; Description appears adjacent to or below the chart; Description updates when visualisation data changes; Page renders correctly when no description is provided,4,3,4,"Clear accessibility/comprehension story. Benefit ('understand what I am viewing') is concrete. Annotator 2 noted 'textual descriptions' could mean tooltip, caption, or alt-text — ambiguity in implementation spec."
