id,title,author,year,venue,search_strings,v1_decision,v1_reason,v2 _decision,v2_reason
1,MangaFlow: An End-to-End Agentic Framework for Controllable Story to Manga Generation,"Wang, Muyao; Xie, Zeke; Chen, Yanhao; Xiu, Lixin; Nakayama, Hideki",2024,arXiv.org,String A,INCLUDE,"IC1, IC2",EXCLUDE,Does not report a human-baseline comparison or quantitative results; unclear if full text includes such data. Also no explicit open-access or English-only confirmation.
2,PromptEmbedder:: Efficient and Transferable Text Embedding via Dual-LLM Soft Prompting,"Tsai, Yu-Che; Chen, Kuan-Yu; Chen, Yuan-Hao; Chang, Yu-Han; Tsai, Ching-Yu; Chuang, Yu-Hsiang; Lin, Shou-De",2026,arXiv.org,String A,EXCLUDE,EC1,,
3,Beyond One Path: Evaluating and Enhancing Divergent Thinking in Interactive LLM Agents,"Park, Jihyeong; Baek, Ingeol; Park, Jeonghyun; Lee, Hwanhee",2025,arXiv.org,String A,INCLUDE,"IC1, IC2",EXCLUDE,"No evidence of using LLMs to generate BDD/gherkin scenarios or step definitions, nor quantitative comparison against human baseline; focus is on testers' perceptions in industry rather than experimental evaluation."
4,Unified Synthesis of Compositional Speech and Sound from Free-Form Text Prompts,"Wang, Yuyue; Wang, Xihua; Cheng, Xin; Chen, Yijing; Song, Ruihua",2025,arXiv.org,String A,INCLUDE,"IC1, IC2",EXCLUDE,"No evidence of using LLMs to generate BDD/gherkin scenarios or step definitions, nor quantitative comparison against human baseline; focus is on testers' perceptions in industry rather than experimental evaluation."
5,Extracting Small Translation Specialists from LLMs by Aggressively Pruning Experts,"Martin, Liu O.; Bandarkar, Lucas; Peng, Nanyun",2025,arXiv.org,String A,UNSURE,IC3,EXCLUDE,A replication data package for ID 22.
6,Skill-as-Pseudocode: Refactoring Skill Libraries to Pseudocode for LLM Agents,"Li, Xinze; Zang, Yuhang; Cao, Yixin; Sun, Aixin",2025,arXiv.org,String A,UNSURE,EC1,,
7,Addressing Variable Heterogeneity in Distributed Multimodal Training with Entrain,"Jang, Insu; Chowdhury, Mosharaf",2025,arXiv.org,String A,EXCLUDE,EC2,,
8,Let the Results Speak: A Replication-First Paradigm for LLM Behavioral Benchmarking,"Yuming; Huang; Liu, Yao; Wang, Lei; Wan, Junchen",2025,arXiv.org,String A,EXCLUDE,EC1,,
9,Neuro-Symbolic Verification of LLM Outputs for Data-Sensitive Domains (extended preprint),"Sigloch, Paul; Benzmüller, Christoph",2026,arXiv.org,String A,INCLUDE,"IC1, IC3",EXCLUDE,Discusses LLMs and AI in software but does not describe a study generating BDD/gherkin scenarios or providing quantitative results comparing to human baseline. No clear inclusion criteria evidence.
10,JuICE: A Benchmark for Evaluating LLM-Judge in Identifying Cultural Errors,"Jin, Jiho; Myung, Junho; Oh, Juhyun; Park, Junyeong; Putri, Rifki Afina; Dev, Sunipa; Prabhakaran, Vinodkumar; Oh, Alice",2025,arXiv.org,String A,EXCLUDE,EC4,,
11,DEI: Diversity in Evolutionary Inference for Quality-Diversity Search,"Donaghy, John; Rastogi, Shikhar",2025,arXiv.org,String A,EXCLUDE,EC4,,
12,ConVer: Using Contracts and Loop Invariant Synthesis for Scalable Formal Software Verification,"Pirzada, Muhammad A. A.; Wang, Weiqi; Charalambous, Yiannis; Korovin, Konstantin; Cordeiro, Lucas C.",2025,arXiv.org,String A,EXCLUDE,EC3,,
13,Voluntary Collusion with Secret Tools in Competing LLM Agents,"Zeng, Xijie; Rudzicz, Frank",2025,arXiv.org,String A,EXCLUDE,EC3,,
14,LaneRoPE: Positional Encoding for Collaborative Parallel Reasoning and Generation,"Cesa, Gabriele; Hehn, Thomas; Torres-Camps, Aleix; Casellas, Àlex Batlle; Ros-Giralt, Jordi; Behboodi, Arash; Orekondy, Tribhuvanesh",2026,arXiv.org,String A,INCLUDE,"IC1, IC3",INCLUDE,Explores generating executable test code using Gherkin syntax as a crucial intermediate step handled by LLMs.
15,AgensFlow: A Coordination-Policy Substrate for Multi-Agent Systems,"Koenigstein, Nicole",2025,arXiv.org,String A,EXCLUDE,EC4,,
16,When prompt perturbations break your A/B test: A valid statistical test for generative surveying,"Helm, Hayden; Priebe, Carey",2024,arXiv.org,String A,UNSURE,EC2,EXCLUDE,"No evidence of using LLMs to generate BDD/gherkin scenarios or step definitions, nor quantitative comparison against human baseline; focus is on testers' perceptions in industry rather than experimental evaluation."
17,A Systematic Evaluation of Retrieval-Augmented Generation and Language Models for Space Operations,"Belo, Ruben; Guimarães, Marta; Soares, Cláudia",2026,arXiv.org,String A,UNSURE,EC2,INCLUDE,Translates natural language requirements into structured Gherkin test cases using LLMs.
18,Using Zero-Shot LLM-Generated Survey Data for Geographically Explicit Population Synthesis,"Anderson, Taylor; Hoene, Sara Von; Cinar, Orhan Yagizer; Hoene, Emma Von; Roess, Amira; Crooks, Andrew; Kavak, Hamdi",2024,arXiv.org,String A,INCLUDE,"IC1, IC3",EXCLUDE,"Topic is about multimodal web coding evaluation benchmarks for code language models, not specifically LLM-generated BDD/Gherkin scenarios or step definitions, and no direct human-vs-LLM BDD testing data mentioned."
19,PathWISE: Multi-Agent Cancer Pathway Triaging Ontology Learning from Clinical Flowcharts,"Abioye, Sofiat; Khan, Ufaq; Ashraf, Shazad; Butt, Mohammed Adil; Beggs, Andrew D.; Byfield, Adam; Jose, Anusha; Poulett, William; Wallace, Ben; Qadir, Junaid; Bilal, Muhammad",2025,arXiv.org,String A,INCLUDE,EC1,,
20,RePlan-Bot: Multi-Level Replanning for Embodied Instruction Following,"Gong, Xicheng; Sun, Guozheng; Xu, Peiran; Mu, Yadong",2026,arXiv.org,String A,INCLUDE,"IC1, IC2",EXCLUDE,"Discusses reverse engineering to create specifications and mentions LLM-based documentation, but it focuses on legacy software modernization and does not clearly use LLMs to generate BDD/Gherkin scenarios or provide quantitative human-baseline comparisons for such tests."
21,An Efficient and Privacy-Preserving Architecture for Cross-Institutional Collaborative RAG,"Mao, Chenxin; Liu, Shangyu; Zheng, Zhenzhe; Wu, Fan; Wu, Jie; Chen, Guihai",2025,arXiv.org,String A,INCLUDE,"IC1, IC2",EXCLUDE,"Describes RAG-based framework for automated test case generation with BDD exports, but focuses on broad test-case generation from diverse sources rather than specifically using LLMs to generate BDD/Gherkin scenarios or step definitions with explicit quantitative human-baseline evaluation. No clear open-LLM BDD comparison data."
22,DiscoverPhysics: Benchmarking LLMs for Out-of-the-Box Scientific Thinking,"Wiemann, Matt L.; Smith, Lindsay M.; Melchior, Peter; Mishra-Sharma, Siddharth; Wilson, Andrew Gordon; Izmailov, Pavel; Cuesta-Lázaro, Carolina",2025,arXiv.org,String A,EXCLUDE,EC3,,
23,A Two-Phase Stability Study of LLM Judges and Bar Council Examiners on Thai Bar-Exam Free-Form Essays,"Akarajaradwong, Pawitsapak; Lertprasertphakorn, Wuttikrai; Chaksangchaichot, Chompakorn; Nutanong, Sarana",2026,arXiv.org,String A,INCLUDE,"IC1, IC2",EXCLUDE,"Discusses LLMs applied to legal compliance, regulation analysis, and BDD artifacts, but does not mention OpenAI/OpenAlex, and does not clearly focus on generating BDD/Gherkin scenarios or providing quantitative human-baseline comparisons for such artifacts."
24,GeoFaith: A Spatio-Temporal Dual View of Faithful Chain-of-Thought,"Lv, Weijiang; Zhao, Wentong; Wang, Jiayu; Wu, Yuhao; Wei, Jiaheng; Xia, Xiaobo",2026,arXiv.org,String A,INCLUDE,"IC1, IC2",EXCLUDE,"No evidence of using LLMs to generate BDD/gherkin scenarios or step definitions, nor quantitative comparison against human baseline; focus is on testers' perceptions in industry rather than experimental evaluation."
25,Multi-Stakeholder LLM Alignment: Decomposing Estimation from Aggregation,"Zheng, Lulu; Yang, Wenjin; Zhang, Xiangwen; Yin, Rong; Hu, Yulan; Pan, Zheng; Li, Xin",2024,arXiv.org,String A,INCLUDE,"IC1, IC2",EXCLUDE,"Describes a software release for an LLM orchestration system with test suites; it does not mention BDD/Gherkin scenarios, or human baselines, nor English peer-reviewed study data. No explicit LLM-generated BDD results or comparison."
26,LATTE: Forecasting Peer Anchored Preference Trajectories for Personalized LLM Generation,"Li, Jinze; Yang, Xiaoyan; Yang, Shuo; Xu, Jinfeng; Shen, Yue; Wang, Jian; Gu, Jinjie; Ngai, Edith Cheuk-Han",2024,arXiv.org,String A,UNSURE,"IC1, IC2",EXCLUDE,Discusses LLMs and AI in software but does not describe a study generating BDD/gherkin scenarios or providing quantitative results comparing to human baseline. No clear inclusion criteria evidence.
27,Focal Reward: Balanced Reinforcement Learning under Rubric-Based Rewards,"Huang, Yu; Zhao, Zihua; Huan, Zhaoxin; Gu, Wanli; Hong, Feng; Ge, Xinmu; Yuan, Lin; Wu, Weichang; Hu, Qiang; Zhang, Xiaolu; Zhou, Jun; Yao, Jiangchao",2024,arXiv.org,String A,EXCLUDE,EC4,,
