story_id,source_file,domain,complexity,role,goal,benefit,connextra_valid,expected_test_scenarios,annotator_1_score,annotator_2_score,agreed_score,notes,llm_output,model_name,estimated_cost,error_log,run_timestamp
US001,parabol_blog,Parabol: Mobile Apps,Complex,user,to be able to easily sync my app data across multiple devices,I can access my information from anywhere,Yes,"1. Sync 5 text notes across iOS and Web within 5 seconds. 2. Edit offline on Device A, reconnect, verify cloud update. 3. Cause simultaneous edit conflict and check resolution prompt.",3,3,3.0,"Annotators agreed it's a solid story (score 5). Multi-device sync is a clear, valuable user goal. Could use a bit more detail on what data specifically is synced.","**(1) Gherkin Scenarios in .feature format:**

```gherkin
Feature: Sync app data across multiple devices

  Scenario: Sync data from one device to another
    Given I am logged into the app on Device A
    And I have some data saved on Device A
    When I sync the data on Device A
    And I log into the app on Device B
    Then I should see the same data on Device B

  Scenario: Sync data when offline
    Given I am logged into the app on Device A
    And I have some data saved on Device A
    And I am offline on Device A
    When I try to sync the data on Device A
    Then I should see an error message indicating that sync is not possible

  Scenario: Sync data with conflicting changes
    Given I am logged into the app on Device A
    And I have some data saved on Device A
    And I am logged into the app on Device B
    And I have made changes to the data on Device B
    When I sync the data on Device A
    Then I should see a conflict resolution prompt

  Scenario: Sync data automatically
    Given I am logged into the app on Device A
    And I have some data saved on Device A
    When I log into the app on Device B
    Then the data should be automatically synced to Device B
```

**(2) Step Definitions in Python:**

```python
from behave import given, when, then

@given('I am logged into the app on Device A')
def step_impl(context):
    context.device_a.login()

@given('I have some data saved on Device A')
def step_impl(context):
    context.device_a.save_data()

@when('I sync the data on Device A')
def step_impl(context):
    context.device_a.sync_data()

@given('I log into the app on Device B')
def step_impl(context):
    context.device_b.login()

@then('I should see the same data on Device B')
def step_impl(context):
    assert context.device_b.get_data() == context.device_a.get_data()

@given('I am offline on Device A')
def step_impl(context):
    context.device_a.go_offline()

@when('I try to sync the data on Device A')
def step_impl(context):
    context.sync_result = context.device_a.sync_data()

@then('I should see an error message indicating that sync is not possible')
def step_impl(context):
    assert context.sync_result == 'Error: Cannot sync while offline'

@given('I am logged into the app on Device B')
def step_impl(context):
    context.device_b.login()

@given('I have made changes to the data on Device B')
def step_impl(context):
    context.device_b.modify_data()

@then('I should see a conflict resolution prompt')
def step_impl(context):
    assert context.device_a.get_conflict_prompt() is not None

@then('the data should be automatically synced to Device B')
def step_impl(context):
    assert context.device_b.get_data() == context.device_a.get_data()
```

**(3) Validation Checklist:**

- [ ] Verify user can log into the app on Device A
- [ ] Verify user can save data on Device A
- [ ] Verify data can be synced from Device A
- [ ] Verify user can log into the app on Device B
- [ ] Verify data on Device B matches data on Device A after sync
- [ ] Verify app behavior when Device A is offline
- [ ] Verify error message is shown when trying to sync offline
- [ ] Verify user can log into the app on Device B
- [ ] Verify data can be modified on Device B
- [ ] Verify conflict resolution prompt appears when there are conflicting changes
- [ ] Verify data is automatically synced to Device B when logging in
- [ ] Verify data consistency across multiple devices after automatic sync",gpt-4o-2024-05-13,0.012694999999999998,None,2026-07-16 00:57:12
US002,g04-recycling.txt,Recycling & Facilities,Complex,user,to be able to check transaction history and keep a record of it,I can go back when needed,Yes,View transaction history with list of past transactions; Filter by date or type; Export or download record; Empty state when no transactions exist,3,3,3.0,"Goal 'check transaction history and keep a record' is vague — no format, filter, or time range specified. Benefit is weak ('when needed'). Testable in basic form but edge cases unclear.","**1. Gherkin Scenarios in .feature format:**

```gherkin
Feature: Transaction History

  Scenario: User views transaction history
    Given the user is logged into their account
    When the user navigates to the transaction history page
    Then the user should see a list of past transactions

  Scenario: User filters transaction history by date
    Given the user is on the transaction history page
    When the user selects a date range filter
    And the user applies the date range filter
    Then the user should see transactions within the selected date range

  Scenario: User downloads transaction history
    Given the user is on the transaction history page
    When the user clicks the download button
    Then the user should receive a file containing the transaction history
```

**2. Step Definitions in Python:**

```python
from behave import given, when, then

@given('the user is logged into their account')
def step_impl(context):
    context.browser.get('https://example.com/login')
    context.browser.find_element_by_id('username').send_keys('user')
    context.browser.find_element_by_id('password').send_keys('password')
    context.browser.find_element_by_id('login-button').click()

@when('the user navigates to the transaction history page')
def step_impl(context):
    context.browser.get('https://example.com/transaction-history')

@then('the user should see a list of past transactions')
def step_impl(context):
    transactions = context.browser.find_elements_by_class_name('transaction')
    assert len(transactions) > 0

@given('the user is on the transaction history page')
def step_impl(context):
    context.browser.get('https://example.com/transaction-history')

@when('the user selects a date range filter')
def step_impl(context):
    context.browser.find_element_by_id('date-range').click()
    context.browser.find_element_by_id('start-date').send_keys('2023-01-01')
    context.browser.find_element_by_id('end-date').send_keys('2023-12-31')

@when('the user applies the date range filter')
def step_impl(context):
    context.browser.find_element_by_id('apply-filter').click()

@then('the user should see transactions within the selected date range')
def step_impl(context):
    transactions = context.browser.find_elements_by_class_name('transaction')
    for transaction in transactions:
        date = transaction.find_element_by_class_name('date').text
        assert '2023-01-01' <= date <= '2023-12-31'

@when('the user clicks the download button')
def step_impl(context):
    context.browser.find_element_by_id('download-button').click()

@then('the user should receive a file containing the transaction history')
def step_impl(context):
    # Assuming the file is downloaded to a predefined directory
    import os
    assert os.path.exists('/path/to/download/directory/transaction_history.csv')
```

**3. Validation Checklist:**

- [ ] Verify the user can log into their account.
- [ ] Verify the user can navigate to the transaction history page.
- [ ] Verify the transaction history page displays a list of past transactions.
- [ ] Verify the user can select a date range filter.
- [ ] Verify the user can apply the date range filter.
- [ ] Verify the transaction history is filtered correctly by the selected date range.
- [ ] Verify the user can click the download button.
- [ ] Verify a file containing the transaction history is downloaded.
- [ ] Verify the downloaded file contains the correct transaction history data.",gpt-4o-2024-05-13,0.011555,None,2026-07-16 00:57:16
US003,parabol_blog,Parabol: General,Medium,smart home owner,"to control all of my smart devices from a single app, so I can easily manage my home's technology",I can easily manage my home's technology,Yes,1. Pair a new smart bulb via app. 2. Group 3 devices and turn all off with one tap. 3. Display 'Device Offline' icon when router is disconnected.,3,2,2.0,Good clarity on the smart home domain. A2 flagged that 'all of my smart devices' might be too broad (scope creep risk). Resolved to 4.,"### (1) Gherkin Scenarios in .feature format

```gherkin
Feature: Control all smart devices from a single app

  Scenario: Add a new smart device to the app
    Given I have opened the smart home app
    When I navigate to the ""Add Device"" section
    And I select the type of device I want to add
    And I follow the on-screen instructions to add the device
    Then the new device should appear in my list of devices

  Scenario: Remove a smart device from the app
    Given I have opened the smart home app
    And I have a device already added
    When I navigate to the device settings
    And I select the ""Remove Device"" option
    Then the device should no longer appear in my list of devices

  Scenario: Control a smart device from the app
    Given I have opened the smart home app
    And I have a device already added
    When I select the device from my list of devices
    And I choose a control option (e.g., turn on/off, adjust settings)
    Then the device should respond to the control command

  Scenario: View the status of a smart device
    Given I have opened the smart home app
    And I have a device already added
    When I select the device from my list of devices
    Then I should see the current status of the device (e.g., on/off, current settings)
```

### (2) Step Definitions in Python

```python
from behave import given, when, then

@given('I have opened the smart home app')
def step_impl(context):
    context.app.open()

@when('I navigate to the ""Add Device"" section')
def step_impl(context):
    context.app.go_to_add_device_section()

@when('I select the type of device I want to add')
def step_impl(context):
    context.app.select_device_type()

@when('I follow the on-screen instructions to add the device')
def step_impl(context):
    context.app.follow_add_device_instructions()

@then('the new device should appear in my list of devices')
def step_impl(context):
    assert context.app.is_device_in_list()

@given('I have a device already added')
def step_impl(context):
    context.app.add_device_if_not_exists()

@when('I navigate to the device settings')
def step_impl(context):
    context.app.go_to_device_settings()

@when('I select the ""Remove Device"" option')
def step_impl(context):
    context.app.remove_device()

@then('the device should no longer appear in my list of devices')
def step_impl(context):
    assert not context.app.is_device_in_list()

@when('I select the device from my list of devices')
def step_impl(context):
    context.app.select_device()

@when('I choose a control option (e.g., turn on/off, adjust settings)')
def step_impl(context):
    context.app.control_device()

@then('the device should respond to the control command')
def step_impl(context):
    assert context.app.is_device_responding()

@then('I should see the current status of the device (e.g., on/off, current settings)')
def step_impl(context):
    assert context.app.get_device_status() is not None
```

### (3) Validation Checklist

- [ ] Verify the app opens successfully.
- [ ] Verify navigation to the ""Add Device"" section works.
- [ ] Verify the selection of device type is functional.
- [ ] Verify following on-screen instructions adds the device.
- [ ] Verify the new device appears in the list of devices.
- [ ] Verify the app can detect if a device is already added.
- [ ] Verify navigation to device settings works.
- [ ] Verify the ""Remove Device"" option removes the device.
- [ ] Verify the removed device no longer appears in the list.
- [ ] Verify selecting a device from the list works.
- [ ] Verify control options (e.g., turn on/off, adjust settings) are functional.
- [ ] Verify the device responds to control commands.
- [ ] Verify the current status of the device is displayed correctly.",gpt-4o-2024-05-13,0.01333,None,2026-07-16 00:57:20
US004,g25-duraspace.txt,Digital Repository (DuraSpace),Medium,repository manager,to know all the collections and objects in the DAMS for which I have custodial responsibility,Benefit not explicitly stated.,Yes,1. Login as repo manager and view dashboard of assigned collections. 2. Attempt to access unassigned collection via direct URL (expect 403). 3. Filter objects by active status.,2,3,2.0,Role 'repository manager' is well-defined. Goal is slightly passive ('to know'). A1 suggested refactoring to 'view a list of...'.,"(1) Gherkin scenarios in .feature format:

```gherkin
Feature: View custodial collections and objects in DAMS

  Scenario: Repository manager views all collections and objects
    Given I am logged in as a repository manager
    When I navigate to the DAMS dashboard
    Then I should see a list of all collections and objects for which I have custodial responsibility
```

(2) Step definitions in Python:

```python
from behave import given, when, then

@given('I am logged in as a repository manager')
def step_impl(context):
    context.browser.get('http://dams.example.com/login')
    context.browser.find_element_by_id('username').send_keys('repository_manager')
    context.browser.find_element_by_id('password').send_keys('password')
    context.browser.find_element_by_id('login').click()

@when('I navigate to the DAMS dashboard')
def step_impl(context):
    context.browser.get('http://dams.example.com/dashboard')

@then('I should see a list of all collections and objects for which I have custodial responsibility')
def step_impl(context):
    collections = context.browser.find_elements_by_class_name('collection')
    objects = context.browser.find_elements_by_class_name('object')
    assert len(collections) > 0, ""No collections found""
    assert len(objects) > 0, ""No objects found""
```

(3) Validation checklist:

- [ ] Verify that the repository manager can log in successfully.
- [ ] Verify that the repository manager can navigate to the DAMS dashboard.
- [ ] Verify that the DAMS dashboard displays a list of collections for which the repository manager has custodial responsibility.
- [ ] Verify that the DAMS dashboard displays a list of objects for which the repository manager has custodial responsibility.
- [ ] Verify that the list of collections is not empty.
- [ ] Verify that the list of objects is not empty.",gpt-4o-2024-05-13,0.006449999999999999,None,2026-07-16 00:57:21
US005,parabol_blog,Parabol: UX Design,Medium,user,to be able to customize the layout of my dashboard so that I can arrange the information in a way that suits me,I can arrange the information in a way that suits me,Yes,1. Drag 'Activity' widget to top left. 2. Resize 'Charts' widget to 2x2. 3. Logout/login and verify layout persists.,2,2,2.0,"Classic layout customization story. Both agreed it's well-formed. Missing specific constraints on what 'layout' entails, but valid at epic/high-level.","### (1) Gherkin Scenarios in .feature format

```gherkin
Feature: Dashboard Layout Customization

  Scenario: User adds a new widget to the dashboard
    Given the user is on the dashboard page
    When the user selects ""Add Widget""
    And the user chooses a widget from the list
    Then the widget should appear on the dashboard

  Scenario: User removes a widget from the dashboard
    Given the user is on the dashboard page
    And a widget is present on the dashboard
    When the user selects ""Remove Widget"" on the widget
    Then the widget should no longer appear on the dashboard

  Scenario: User rearranges widgets on the dashboard
    Given the user is on the dashboard page
    And multiple widgets are present on the dashboard
    When the user drags a widget to a new position
    Then the widget should be in the new position on the dashboard

  Scenario: User saves the customized dashboard layout
    Given the user has customized the dashboard layout
    When the user selects ""Save Layout""
    Then the customized layout should be saved
    And the user should see a confirmation message
```

### (2) Step Definitions in Python

```python
from behave import given, when, then

@given('the user is on the dashboard page')
def step_impl(context):
    context.browser.get('http://example.com/dashboard')

@when('the user selects ""Add Widget""')
def step_impl(context):
    context.browser.find_element_by_id('add-widget-button').click()

@when('the user chooses a widget from the list')
def step_impl(context):
    context.browser.find_element_by_id('widget-list').find_element_by_tag_name('li').click()

@then('the widget should appear on the dashboard')
def step_impl(context):
    assert context.browser.find_element_by_class_name('widget').is_displayed()

@given('a widget is present on the dashboard')
def step_impl(context):
    context.execute_steps('''
        When the user selects ""Add Widget""
        And the user chooses a widget from the list
    ''')

@when('the user selects ""Remove Widget"" on the widget')
def step_impl(context):
    context.browser.find_element_by_class_name('widget').find_element_by_class_name('remove-button').click()

@then('the widget should no longer appear on the dashboard')
def step_impl(context):
    assert not context.browser.find_elements_by_class_name('widget')

@given('multiple widgets are present on the dashboard')
def step_impl(context):
    context.execute_steps('''
        When the user selects ""Add Widget""
        And the user chooses a widget from the list
        When the user selects ""Add Widget""
        And the user chooses a widget from the list
    ''')

@when('the user drags a widget to a new position')
def step_impl(context):
    widget = context.browser.find_element_by_class_name('widget')
    target_position = context.browser.find_element_by_id('target-position')
    context.browser.drag_and_drop(widget, target_position)

@then('the widget should be in the new position on the dashboard')
def step_impl(context):
    widget = context.browser.find_element_by_class_name('widget')
    target_position = context.browser.find_element_by_id('target-position')
    assert widget.location == target_position.location

@given('the user has customized the dashboard layout')
def step_impl(context):
    context.execute_steps('''
        When the user selects ""Add Widget""
        And the user chooses a widget from the list
        When the user drags a widget to a new position
    ''')

@when('the user selects ""Save Layout""')
def step_impl(context):
    context.browser.find_element_by_id('save-layout-button').click()

@then('the customized layout should be saved')
def step_impl(context):
    assert context.browser.find_element_by_id('save-confirmation').is_displayed()

@then('the user should see a confirmation message')
def step_impl(context):
    assert context.browser.find_element_by_id('save-confirmation').text == ""Layout saved successfully""
```

### (3) Validation Checklist

- [ ] Verify the user can access the dashboard page.
- [ ] Verify the ""Add Widget"" button is present and clickable.
- [ ] Verify the widget list is displayed when ""Add Widget"" is selected.
- [ ] Verify a widget can be added to the dashboard.
- [ ] Verify a widget can be removed from the dashboard.
- [ ] Verify multiple widgets can be added to the dashboard.
- [ ] Verify widgets can be rearranged on the dashboard.
- [ ] Verify the ""Save Layout"" button is present and clickable.
- [ ] Verify the customized layout is saved after clicking ""Save Layout"".
- [ ] Verify a confirmation message is displayed after saving the layout.",gpt-4o-2024-05-13,0.015394999999999999,None,2026-07-16 00:57:27
US006,g08-frictionless.txt,Data Packaging,Medium,Researcher,an app that generates an OpenRefine reconciliation API endpoint from a Tabular Data Package,I can use it to clean messy data,Yes,App generates valid OpenRefine endpoint from a data package; Invalid data package returns error; Endpoint accessible and returns expected format; Messy data can be cleaned via the endpoint,3,2,2.0,Highly technical story; role 'Researcher' vague — not a system actor. Benefit is measurable ('clean messy data') but goal is too implementation-specific for a user story. Annotator 2 flagged missing acceptance criteria scope.,"**(1) Gherkin Scenarios in .feature format:**

```gherkin
Feature: Generate OpenRefine reconciliation API endpoint from a Tabular Data Package

  Scenario: Generate API endpoint from valid Tabular Data Package
    Given I have a valid Tabular Data Package
    When I request to generate an OpenRefine reconciliation API endpoint
    Then I should receive a valid API endpoint URL

  Scenario: Generate API endpoint from invalid Tabular Data Package
    Given I have an invalid Tabular Data Package
    When I request to generate an OpenRefine reconciliation API endpoint
    Then I should receive an error message indicating the package is invalid

  Scenario: Generate API endpoint from empty Tabular Data Package
    Given I have an empty Tabular Data Package
    When I request to generate an OpenRefine reconciliation API endpoint
    Then I should receive an error message indicating the package is empty
```

**(2) Step Definitions in Python:**

```python
from behave import given, when, then
import requests

@given('I have a valid Tabular Data Package')
def step_given_valid_tabular_data_package(context):
    context.tabular_data_package = {
        # Add valid Tabular Data Package details here
    }

@given('I have an invalid Tabular Data Package')
def step_given_invalid_tabular_data_package(context):
    context.tabular_data_package = {
        # Add invalid Tabular Data Package details here
    }

@given('I have an empty Tabular Data Package')
def step_given_empty_tabular_data_package(context):
    context.tabular_data_package = {}

@when('I request to generate an OpenRefine reconciliation API endpoint')
def step_when_request_generate_api_endpoint(context):
    response = requests.post('http://example.com/api/generate', json=context.tabular_data_package)
    context.response = response

@then('I should receive a valid API endpoint URL')
def step_then_receive_valid_api_endpoint(context):
    assert context.response.status_code == 200
    assert 'api_endpoint' in context.response.json()

@then('I should receive an error message indicating the package is invalid')
def step_then_receive_invalid_package_error(context):
    assert context.response.status_code == 400
    assert context.response.json().get('error') == 'Invalid Tabular Data Package'

@then('I should receive an error message indicating the package is empty')
def step_then_receive_empty_package_error(context):
    assert context.response.status_code == 400
    assert context.response.json().get('error') == 'Empty Tabular Data Package'
```

**(3) Validation Checklist:**

- [ ] Verify the app accepts a valid Tabular Data Package.
- [ ] Verify the app rejects an invalid Tabular Data Package.
- [ ] Verify the app rejects an empty Tabular Data Package.
- [ ] Verify the app generates a valid OpenRefine reconciliation API endpoint URL for a valid Tabular Data Package.
- [ ] Verify the app returns an error message for an invalid Tabular Data Package.
- [ ] Verify the app returns an error message for an empty Tabular Data Package.
- [ ] Verify the response status code is 200 for a valid Tabular Data Package.
- [ ] Verify the response status code is 400 for an invalid Tabular Data Package.
- [ ] Verify the response status code is 400 for an empty Tabular Data Package.",gpt-4o-2024-05-13,0.010975,None,2026-07-16 00:57:29
US007,g08-frictionless.txt,Data Packaging,Complex,developer,an DSpace integration,I can integrate data-packaged data with pipelines that use Dspace,Yes,DSpace integration connects successfully; Data package imported via DSpace pipeline; Integration fails gracefully with error message; Data integrity preserved after import,2,2,2.0,"Goal 'an DSpace integration' is a feature request, not a user goal — grammatically incorrect ('an DSpace') and too broad. Benefit is minimal ('integrate with pipelines'). Low testability without sub-stories.","**1. Gherkin Scenarios in .feature format:**

```gherkin
Feature: DSpace Integration

  Scenario: Successful integration of data-packaged data with DSpace
    Given I have a valid data package
    When I integrate the data package with DSpace
    Then the data should be successfully integrated into the DSpace pipeline

  Scenario: Integration with invalid data package
    Given I have an invalid data package
    When I attempt to integrate the data package with DSpace
    Then I should receive an error message indicating the data package is invalid

  Scenario: Integration with missing data package
    Given I do not have a data package
    When I attempt to integrate with DSpace
    Then I should receive an error message indicating the data package is missing

  Scenario: Integration with DSpace when DSpace is down
    Given I have a valid data package
    And DSpace is down
    When I attempt to integrate the data package with DSpace
    Then I should receive an error message indicating DSpace is unavailable
```

**2. Step Definitions in Python:**

```python
from behave import given, when, then

@given('I have a valid data package')
def step_given_valid_data_package(context):
    context.data_package = ""valid_data_package""

@given('I have an invalid data package')
def step_given_invalid_data_package(context):
    context.data_package = ""invalid_data_package""

@given('I do not have a data package')
def step_given_no_data_package(context):
    context.data_package = None

@given('DSpace is down')
def step_given_dspace_is_down(context):
    context.dspace_status = ""down""

@when('I integrate the data package with DSpace')
def step_when_integrate_with_dspace(context):
    if context.data_package == ""valid_data_package"" and context.dspace_status != ""down"":
        context.integration_result = ""success""
    elif context.data_package == ""invalid_data_package"":
        context.integration_result = ""error_invalid_package""
    elif context.data_package is None:
        context.integration_result = ""error_missing_package""
    elif context.dspace_status == ""down"":
        context.integration_result = ""error_dspace_unavailable""

@then('the data should be successfully integrated into the DSpace pipeline')
def step_then_successful_integration(context):
    assert context.integration_result == ""success""

@then('I should receive an error message indicating the data package is invalid')
def step_then_error_invalid_package(context):
    assert context.integration_result == ""error_invalid_package""

@then('I should receive an error message indicating the data package is missing')
def step_then_error_missing_package(context):
    assert context.integration_result == ""error_missing_package""

@then('I should receive an error message indicating DSpace is unavailable')
def step_then_error_dspace_unavailable(context):
    assert context.integration_result == ""error_dspace_unavailable""
```

**3. Validation Checklist:**

- [ ] Verify that a valid data package can be successfully integrated with DSpace.
- [ ] Verify that an invalid data package results in an error message indicating the data package is invalid.
- [ ] Verify that attempting to integrate without a data package results in an error message indicating the data package is missing.
- [ ] Verify that attempting to integrate with DSpace when DSpace is down results in an error message indicating DSpace is unavailable.
- [ ] Ensure that the integration process handles all edge cases and error conditions appropriately.
- [ ] Validate that the system logs appropriate messages for successful and failed integration attempts.
- [ ] Confirm that the integration process does not leave any partial or corrupt data in DSpace in case of failure.",gpt-4o-2024-05-13,0.01183,None,2026-07-16 00:57:32
US008,g04-recycling.txt,Recycling & Facilities,Complex,user,to be able to browse through the list of facolities and see which ones are environment-friendly,I can know for sure my waste is not going to leave a negative ecological footprint,Yes,Browse facility list with ecological rating visible; Filter facilities by ecological impact; Facility detail shows waste disposal method; User can confirm facility meets environmental standard,4,3,4.0,Meaningful civic story; typo ('facolities') noted. Benefit about ecological impact is clear and testable. Annotator 2 noted goal is compound — 'browse AND see' should be split.,"### (1) Gherkin Scenarios in .feature Format

```gherkin
Feature: Browse Environment-Friendly Facilities

  Scenario: User views the list of facilities
    Given the user is on the facilities page
    When the user browses through the list of facilities
    Then the user should see a list of facilities

  Scenario: User identifies environment-friendly facilities
    Given the user is on the facilities page
    When the user browses through the list of facilities
    Then the user should see which facilities are environment-friendly
```

### (2) Step Definitions in Python

```python
from behave import given, when, then

@given('the user is on the facilities page')
def step_given_user_on_facilities_page(context):
    context.browser.get('http://example.com/facilities')

@when('the user browses through the list of facilities')
def step_when_user_browses_facilities(context):
    context.facilities_list = context.browser.find_elements_by_class_name('facility')

@then('the user should see a list of facilities')
def step_then_user_sees_list_of_facilities(context):
    assert len(context.facilities_list) > 0, ""No facilities found""

@then('the user should see which facilities are environment-friendly')
def step_then_user_sees_environment_friendly_facilities(context):
    env_friendly_facilities = [facility for facility in context.facilities_list if 'environment-friendly' in facility.get_attribute('class')]
    assert len(env_friendly_facilities) > 0, ""No environment-friendly facilities found""
```

### (3) Validation Checklist

- [ ] Verify the user can navigate to the facilities page.
- [ ] Verify the list of facilities is displayed on the facilities page.
- [ ] Verify each facility in the list is displayed with relevant details.
- [ ] Verify environment-friendly facilities are clearly marked.
- [ ] Verify the marking for environment-friendly facilities is consistent and visible.
- [ ] Verify the user can distinguish between environment-friendly and non-environment-friendly facilities.
- [ ] Verify the page loads within acceptable time limits.
- [ ] Verify the user interface is responsive and accessible.",gpt-4o-2024-05-13,0.00721,None,2026-07-16 00:57:34
US009,g24-unibath.txt,University Research Archive,Complex,depositor,to link datasets with the project DMP,compliance with DMP can be demonstrated and whole project workflow is linked together,Yes,Dataset links to DMP successfully; Link visible in both dataset and DMP records; Unlinking removes the association; DMP compliance status updated after link,4,4,4.0,Clear data management story; compliance angle makes benefit concrete. Linkage and unlinkage both testable. Domain (research data) may require specialist knowledge to evaluate fully.,"### (1) Gherkin Scenarios in .feature format

```gherkin
Feature: Link datasets with the project DMP

  Scenario: Successfully link a dataset with the project DMP
    Given I am a logged-in depositor
    And I have a dataset ready to be linked
    And I have access to the project DMP
    When I link the dataset with the project DMP
    Then the dataset should be linked with the project DMP
    And I should see a confirmation message

  Scenario: Attempt to link a dataset without access to the project DMP
    Given I am a logged-in depositor
    And I have a dataset ready to be linked
    And I do not have access to the project DMP
    When I attempt to link the dataset with the project DMP
    Then I should see an error message indicating lack of access

  Scenario: Attempt to link a dataset that is already linked
    Given I am a logged-in depositor
    And I have a dataset that is already linked to the project DMP
    When I attempt to link the dataset with the project DMP again
    Then I should see an error message indicating the dataset is already linked
```

### (2) Step Definitions in Python

```python
from behave import given, when, then

@given('I am a logged-in depositor')
def step_impl(context):
    context.user = login_as_depositor()

@given('I have a dataset ready to be linked')
def step_impl(context):
    context.dataset = get_ready_dataset()

@given('I have access to the project DMP')
def step_impl(context):
    context.dmp_access = check_dmp_access(context.user)

@given('I do not have access to the project DMP')
def step_impl(context):
    context.dmp_access = False

@given('I have a dataset that is already linked to the project DMP')
def step_impl(context):
    context.dataset = get_already_linked_dataset()

@when('I link the dataset with the project DMP')
def step_impl(context):
    if context.dmp_access:
        context.link_result = link_dataset_to_dmp(context.dataset)
    else:
        context.link_result = 'error_no_access'

@when('I attempt to link the dataset with the project DMP')
def step_impl(context):
    if context.dmp_access:
        context.link_result = link_dataset_to_dmp(context.dataset)
    else:
        context.link_result = 'error_no_access'

@then('the dataset should be linked with the project DMP')
def step_impl(context):
    assert context.link_result == 'success'

@then('I should see a confirmation message')
def step_impl(context):
    assert get_confirmation_message() == 'Dataset successfully linked to DMP'

@then('I should see an error message indicating lack of access')
def step_impl(context):
    assert context.link_result == 'error_no_access'
    assert get_error_message() == 'You do not have access to the project DMP'

@then('I should see an error message indicating the dataset is already linked')
def step_impl(context):
    assert context.link_result == 'error_already_linked'
    assert get_error_message() == 'This dataset is already linked to the project DMP'
```

### (3) Validation Checklist

- [ ] Verify that the user is logged in as a depositor.
- [ ] Verify that the dataset is ready to be linked.
- [ ] Verify that the user has access to the project DMP.
- [ ] Verify that the dataset can be linked to the project DMP.
- [ ] Verify that a confirmation message is displayed upon successful linking.
- [ ] Verify that an error message is displayed if the user does not have access to the project DMP.
- [ ] Verify that an error message is displayed if the dataset is already linked to the project DMP.",gpt-4o-2024-05-13,0.012610000000000001,None,2026-07-16 00:57:37
US010,parabol_blog,Parabol: Loan Management,Medium,loan processor,"to be able to track the status of a loan application, so I can manage my work effectively",I can manage my work effectively,Yes,1. Enter valid application ID and see 'In Progress' status. 2. Verify status updates to 'Approved' in real-time when backend changes. 3. Display submission date.,3,3,3.0,Missing explicit benefit originally. Disagreement stems from whether 'manage my work' is a strong enough business value. Resolved based on A1's stricter criteria.,"**(1) Gherkin scenarios in .feature format:**

```gherkin
Feature: Loan Application Status Tracking

  Scenario: View the status of a loan application
    Given I am logged in as a loan processor
    When I navigate to the loan application tracking page
    And I enter the loan application ID
    And I click on the ""Check Status"" button
    Then I should see the current status of the loan application

  Scenario: Update the status of a loan application
    Given I am logged in as a loan processor
    When I navigate to the loan application tracking page
    And I enter the loan application ID
    And I select a new status from the status dropdown
    And I click on the ""Update Status"" button
    Then I should see a confirmation message that the status has been updated
    And the new status should be displayed for the loan application
```

**(2) Step definitions in Python:**

```python
from behave import given, when, then

@given('I am logged in as a loan processor')
def step_impl(context):
    context.browser.get('http://example.com/login')
    context.browser.find_element_by_id('username').send_keys('loan_processor')
    context.browser.find_element_by_id('password').send_keys('password')
    context.browser.find_element_by_id('login').click()

@when('I navigate to the loan application tracking page')
def step_impl(context):
    context.browser.get('http://example.com/loan-tracking')

@when('I enter the loan application ID')
def step_impl(context):
    context.browser.find_element_by_id('loan_id').send_keys('12345')

@when('I click on the ""Check Status"" button')
def step_impl(context):
    context.browser.find_element_by_id('check_status').click()

@then('I should see the current status of the loan application')
def step_impl(context):
    status = context.browser.find_element_by_id('loan_status').text
    assert status is not None

@when('I select a new status from the status dropdown')
def step_impl(context):
    dropdown = context.browser.find_element_by_id('status_dropdown')
    for option in dropdown.find_elements_by_tag_name('option'):
        if option.text == 'Approved':
            option.click()
            break

@when('I click on the ""Update Status"" button')
def step_impl(context):
    context.browser.find_element_by_id('update_status').click()

@then('I should see a confirmation message that the status has been updated')
def step_impl(context):
    message = context.browser.find_element_by_id('confirmation_message').text
    assert message == 'Status updated successfully'

@then('the new status should be displayed for the loan application')
def step_impl(context):
    status = context.browser.find_element_by_id('loan_status').text
    assert status == 'Approved'
```

**(3) Validation checklist:**

- [ ] Verify that the loan processor can log in successfully.
- [ ] Verify that the loan processor can navigate to the loan application tracking page.
- [ ] Verify that the loan processor can enter a loan application ID.
- [ ] Verify that the loan processor can click the ""Check Status"" button.
- [ ] Verify that the current status of the loan application is displayed.
- [ ] Verify that the loan processor can select a new status from the status dropdown.
- [ ] Verify that the loan processor can click the ""Update Status"" button.
- [ ] Verify that a confirmation message is displayed after updating the status.
- [ ] Verify that the new status is displayed for the loan application after updating.",gpt-4o-2024-05-13,0.01171,None,2026-07-16 00:57:41
