story_id,source_file,domain,complexity,role,goal,benefit,connextra_valid,expected_test_scenarios,annotator_1_score,annotator_2_score,agreed_score,notes
US001,parabol_blog,Parabol: Mobile Apps,Complex,user,to be able to easily sync my app data across multiple devices,I can access my information from anywhere,Yes,"1. Sync 5 text notes across iOS and Web within 5 seconds. 2. Edit offline on Device A, reconnect, verify cloud update. 3. Cause simultaneous edit conflict and check resolution prompt.",3,3,3.0,"Annotators agreed it's a solid story (score 5). Multi-device sync is a clear, valuable user goal. Could use a bit more detail on what data specifically is synced."
US002,g04-recycling.txt,Recycling & Facilities,Complex,user,to be able to check transaction history and keep a record of it,I can go back when needed,Yes,View transaction history with list of past transactions; Filter by date or type; Export or download record; Empty state when no transactions exist,3,3,3.0,"Goal 'check transaction history and keep a record' is vague — no format, filter, or time range specified. Benefit is weak ('when needed'). Testable in basic form but edge cases unclear."
US003,parabol_blog,Parabol: General,Medium,smart home owner,"to control all of my smart devices from a single app, so I can easily manage my home's technology",I can easily manage my home's technology,Yes,1. Pair a new smart bulb via app. 2. Group 3 devices and turn all off with one tap. 3. Display 'Device Offline' icon when router is disconnected.,3,2,2.0,Good clarity on the smart home domain. A2 flagged that 'all of my smart devices' might be too broad (scope creep risk). Resolved to 4.
US004,g25-duraspace.txt,Digital Repository (DuraSpace),Medium,repository manager,to know all the collections and objects in the DAMS for which I have custodial responsibility,Benefit not explicitly stated.,Yes,1. Login as repo manager and view dashboard of assigned collections. 2. Attempt to access unassigned collection via direct URL (expect 403). 3. Filter objects by active status.,2,3,2.0,Role 'repository manager' is well-defined. Goal is slightly passive ('to know'). A1 suggested refactoring to 'view a list of...'.
US005,parabol_blog,Parabol: UX Design,Medium,user,to be able to customize the layout of my dashboard so that I can arrange the information in a way that suits me,I can arrange the information in a way that suits me,Yes,1. Drag 'Activity' widget to top left. 2. Resize 'Charts' widget to 2x2. 3. Logout/login and verify layout persists.,2,2,2.0,"Classic layout customization story. Both agreed it's well-formed. Missing specific constraints on what 'layout' entails, but valid at epic/high-level."
US006,g08-frictionless.txt,Data Packaging,Medium,Researcher,an app that generates an OpenRefine reconciliation API endpoint from a Tabular Data Package,I can use it to clean messy data,Yes,App generates valid OpenRefine endpoint from a data package; Invalid data package returns error; Endpoint accessible and returns expected format; Messy data can be cleaned via the endpoint,3,2,2.0,Highly technical story; role 'Researcher' vague — not a system actor. Benefit is measurable ('clean messy data') but goal is too implementation-specific for a user story. Annotator 2 flagged missing acceptance criteria scope.
US007,g08-frictionless.txt,Data Packaging,Complex,developer,an DSpace integration,I can integrate data-packaged data with pipelines that use Dspace,Yes,DSpace integration connects successfully; Data package imported via DSpace pipeline; Integration fails gracefully with error message; Data integrity preserved after import,2,2,2.0,"Goal 'an DSpace integration' is a feature request, not a user goal — grammatically incorrect ('an DSpace') and too broad. Benefit is minimal ('integrate with pipelines'). Low testability without sub-stories."
US008,g04-recycling.txt,Recycling & Facilities,Complex,user,to be able to browse through the list of facolities and see which ones are environment-friendly,I can know for sure my waste is not going to leave a negative ecological footprint,Yes,Browse facility list with ecological rating visible; Filter facilities by ecological impact; Facility detail shows waste disposal method; User can confirm facility meets environmental standard,4,3,4.0,Meaningful civic story; typo ('facolities') noted. Benefit about ecological impact is clear and testable. Annotator 2 noted goal is compound — 'browse AND see' should be split.
US009,g24-unibath.txt,University Research Archive,Complex,depositor,to link datasets with the project DMP,compliance with DMP can be demonstrated and whole project workflow is linked together,Yes,Dataset links to DMP successfully; Link visible in both dataset and DMP records; Unlinking removes the association; DMP compliance status updated after link,4,4,4.0,Clear data management story; compliance angle makes benefit concrete. Linkage and unlinkage both testable. Domain (research data) may require specialist knowledge to evaluate fully.
US010,parabol_blog,Parabol: Loan Management,Medium,loan processor,"to be able to track the status of a loan application, so I can manage my work effectively",I can manage my work effectively,Yes,1. Enter valid application ID and see 'In Progress' status. 2. Verify status updates to 'Approved' in real-time when backend changes. 3. Display submission date.,3,3,3.0,Missing explicit benefit originally. Disagreement stems from whether 'manage my work' is a strong enough business value. Resolved based on A1's stricter criteria.
US011,g18-neurohub.txt,Neuroscience Research Platform,Complex,system administrator,to migrate data from an older version of NeuroHub to the current version,Benefit not explicitly stated.,Yes,1. Run migration script on v1.0 DB. 2. Check logs for 0 missing records in v2.0 DB. 3. Verify specific edge case: old null fields map to default values in current version.,3,3,3.0,"A1 flagged this as an engineering task (migration), not a user story. A2 agreed it lacks a true end-user benefit. Scored low."
US012,g17-cask.txt,Data Application Platform (CASK/CDAP),Complex,user,to specify schema as a SQL schema string,Benefit not explicitly stated.,Yes,"1. Input 'CREATE TABLE x (id INT)' and verify schema parsing. 2. Input invalid SQL 'CREATE TBL' and return syntax error line. 3. Reject SQL injection commands (DROP, DELETE).",2,2,2.0,"Extremely technical. 'Specify schema as SQL string' is an implementation detail, not a user need. Both annotators penalized this heavily."
