ID,Title,Author,Abstract,Year,Venue,Search String
1,Comparative Analysis of Large Language Model Tools for Automated Test Data Generation from BDD,Isela Mendoza|Fernando Antonio Grangeiro Filho|Gustavo de Medeiros|Aline Paes|Vânia de Oliveira Neves,"Automating processes reduces human workload, particularly in software testing, where automation enhances quality and efficiency. Behavior-driven development (BDD) focuses on software behavior to define and validate required functionalities, using tools to translate functional requirements into automated tests. However, creating BDD scenarios and associated test data inputs is timeconsuming and heavily reliant on a good input data set. Large Language Models (LLMs) such as Microsoft’s Copilot, OpenAI’s ChatGPT-3.5, ChatGPT-4, and Google’s Gemini offer potential solutions by automating test data generation. This study evaluates these LLMs’ ability to understand BDD scenarios and generate corresponding test data across five scenarios ranked by complexity. It assesses the LLMs’ learning, assertiveness, response structuring, quality, representativeness, and coverage of the generated test data. The results indicate that ChatGPT-4 and Gemini stand out as the best tools that met our expectations, showing promise for advancing the automation of test data generation from BDD scenarios.",2024,,String A
2,Exploring Large Language Models for Requirements on String Values,Aren A. Babikian|Boqi Chen|Gunter Mussbacher,,2025,,String A
3,Behaviour Driven Development Scenario Generation with Large Language Models,Amila Rathnayake|Mojtaba Shahin|Golnoush Abaei,"This paper presents an evaluation of three LLMs, GPT-4, Claude 3, and Gemini, for automated Behaviour-Driven Development (BDD) scenarios generation. To support this evaluation, we constructed a dataset of 500 user stories, requirement descriptions, and their corresponding BDD scenarios, drawn from four proprietary software products. We assessed the quality of BDD scenarios generated by LLMs using a multidimensional evaluation framework encompassing text and semantic similarity metrics, LLM-based evaluation, and human expert assessment. Our findings reveal that although GPT-4 achieves higher scores in text and semantic similarity metrics, Claude 3 produces scenarios rated highest by both human experts and LLM-based evaluators. LLM-based evaluators, particularly DeepSeek, show a stronger correlation with human judgment than with text similarity and semantic similarity metrics. The effectiveness of prompting techniques is model-specific: GPT-4 performs best with zero-shot, Claude 3 benefits from chain-of-thought reasoning, and Gemini achieves optimal results with few-shot examples. Input quality determines the effectiveness of BDD scenario generation: detailed requirement descriptions alone yield high-quality scenarios, whereas user stories alone yield low-quality scenarios. Our experiments indicate that setting temperature to 0 and top_p to 1.0 produced the highest-quality BDD scenarios across all models.",2026,Open MIND,String A
4,Behaviour Driven Development Scenario Generation with Large Language Models,Amila Rathnayake|Mojtaba Shahin|Golnoush Abaei,"This paper presents an evaluation of three LLMs, GPT-4, Claude 3, and Gemini, for automated Behaviour-Driven Development (BDD) scenarios generation. To support this evaluation, we constructed a dataset of 500 user stories, requirement descriptions, and their corresponding BDD scenarios, drawn from four proprietary software products. We assessed the quality of BDD scenarios generated by LLMs using a multidimensional evaluation framework encompassing text and semantic similarity metrics, LLM-based evaluation, and human expert assessment. Our findings reveal that although GPT-4 achieves higher scores in text and semantic similarity metrics, Claude 3 produces scenarios rated highest by both human experts and LLM-based evaluators. LLM-based evaluators, particularly DeepSeek, show a stronger correlation with human judgment than with text similarity and semantic similarity metrics. The effectiveness of prompting techniques is model-specific: GPT-4 performs best with zero-shot, Claude 3 benefits from chain-of-thought reasoning, and Gemini achieves optimal results with few-shot examples. Input quality determines the effectiveness of BDD scenario generation: detailed requirement descriptions alone yield high-quality scenarios, whereas user stories alone yield low-quality scenarios. Our experiments indicate that setting temperature to 0 and top_p to 1.0 produced the highest-quality BDD scenarios across all models.",2026,ArXiv.org,String A
5,Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,"Independent Researcher & IEEE member Durham, North Carolina, USA|Sujeet Kumar Tiwari","Behavior-Driven Development (BDD) has existed since then as a collaborative way of matching the behavior of software to business requirements, but its historical use has suffered due to the slow manual nature of scenario creation, the lack of consistency in the quality of tests, and the significant maintenance costs incurred in large systems. Such constraints make the overall test more unstable as well as hinder engineering productivity. This work discusses the significant way in which Generative AI, specifically Large Language Models (LLM), could be used to supplement the BDD process, in terms of auto-generating Gherkin scenarios, authoring step definitions, optimizing redundant test flows, as well as engaging in predictive maintenance of flaky or stale test cases. Translating the business rules, user stories, and acceptance criteria to executable tests helps minimize the manual effort and enhance the consistency of scenarios and long-term maintainability of the scenario presented by AI. The study aims to estimate the efficiency improvement, decrease manual workloads, and test reliability enhancement in the presence of AI-driven automation integrated into the workflow of BDD. The experiments demonstrate that the creation time of the test is reduced by 40%, reducing ambiguity-related defects by 25%, and by 10%, the test coverage increases, which proves that the quality and performance have significantly improved. These results indicate that enterprises that implement AI-enhanced BDD have a high return on investment (ROI), faster release cycles, increased test stability, and scale to more automation requirements that are viable in current cloud-native and data-heavy environments.",2025,Frontiers in Emerging Computer Science and Information Technology,String A
6,Automating Behavior-Driven Development with Generative AI: Enhancing Efficiency in Test Automation,Sujeet Kumar Tiwari,"Aim: The study aims to evaluate how the integration of Generative Artificial Intelligence [Large Language Models (LLMs)] can enhance Behavior-Driven Development (BDD) by improving efficiency, reducing manual effort, and increasing test reliability within large-scale software systems. Methods: The study examines the application of AI-driven automation within the BDD workflow, focusing on the use of LLMs to auto-generate Gherkin scenarios, author step definitions, optimize redundant test flows, and perform predictive maintenance on flaky or outdated test cases. Business rules, user stories, and acceptance criteria are translated into executable test artifacts to assess improvements in consistency, maintainability, and engineering productivity. Results: The experimental results demonstrate a 40% reduction in test creation time, a 25% decrease in ambiguity-related defects, and a 10% increase in test coverage. These findings indicate notable improvements in test quality, stability, and overall performance when AI-enhanced BDD practices are adopted. Conclusion: The study concludes that integrating Generative AI into the BDD process significantly mitigates longstanding challenges associated with manual scenario creation, inconsistent test quality, and high maintenance costs. AI-enhanced BDD improves engineering productivity, test robustness, and scalability, making it well-suited for modern cloud-native and data-intensive software environments. Recommendations: The study recommends that enterprises adopt AI-driven BDD frameworks to achieve higher return on investment, faster software release cycles, and improved test stability. Organizations should integrate LLM-powered automation into their quality assurance workflows to support scalable test automation and sustainable long-term maintenance in complex software systems.",2025,International Journal of Engineering and Architecture,String A
7,Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments,Almeyda Alania Fredy Antonio|Barrientos Padilla Alfredo|Siancas Garay Ronald Gustavo,"Manual test case generation for agile software development is a critical bottleneck that is costly, inconsistent, and error-prone. This study introduces a prompt-engineering and multi-level orchestration framework to automate this process. The proposed approach explicitly targets the automated generation of high-level acceptance test cases, addressing a gap in existing research that predominantly focuses on unit-level or reactive testing. The proposed tool, AI-Based Desktop Test Generator (AIDTG), employs a dual-LLM engine (Gemini 1.5 and GPT-4) to transform high-level functional descriptions from the Product Backlog into structured validation scenarios. Unlike prior LLM-based testing approaches, the framework integrates schema-aware prompt engineering and dual-model orchestration to ground the generation process in both functional intent and technical data constraints. The methodology is distinguished by its context-aware prompt engineering, which injects a frozen database schema to ground the models, and its ability to format outputs for the TestRigor BDD 2.0 platform. This schema-grounded and orchestrated workflow enables the systematic translation of informal User Stories into executable Behavior-Driven Development (BDD) acceptance tests, reducing ambiguity and improving semantic correctness. Experimental results on a real-world dataset of fifty User Stories show the framework reduces manual test design effort by eighty per cent, achieves a four point seven five (out of five) average quality rating from human experts, and produces BDD scripts with a ninety-one point nine per cent functional correctness pass rate. These results demonstrate that orchestrated, schema-aware Generative AI can operate as a reliable co-assistant for QA teams, improving efficiency while maintaining high standards of quality and executability.",2025,International Journal of Advanced Computer Science and Applications,String A
8,An Experiment with Focus on Security Through Large- Language Models Using Behavior-Driven Development,Shexmo Santos|Tacyanne Pimentel|Marcus Silva|Luiz Carlos Santos Júnior|Fábio Gomes Rocha|Michel S. Soares,"Requirements elicitation is a fundamental activity in a software development process, which means it needs to be carried out effectively, aiming the requirements to perform the behavior expected by the software. Problem: The need for assertiveness in requirements elicitation tasks can impact subsequent activities of software development. Solution: It is proposed an experiment focusing on the security non-functional requirement expressed in the ISO/IEC 25010:2023 Standard through Large-Language Models (LLMs) using Behavior-Driven Development (BDD). Method: Via an experiment, this study is qualitative and descriptive. It is possible to analyze, through statistical tests, the effectiveness of LLMs to elicit non-functional requirements. Summarization of Results: The study presented the effectiveness of using pre-defined prompts for test automation through machine learning. Contributions and impact: Through this experiment, it is possible to present an effective collaboration between human and artificial intelligence, generating time savings for automatic generation of tests.",2025,Preprints.org,String A
9,Technique to Baseline QE Artefact Generation Aligned to Quality Metrics,Eitan Farchi|Kiran Nayak|Papia Ghosh Majumdar|Saritha Route,"Large Language Models (LLMs) are transforming Quality Engineering (QE) by automating the generation of artefacts such as requirements, test cases, and Behavior Driven Development (BDD) scenarios. However, ensuring the quality of these outputs remains a challenge. This paper presents a systematic technique to baseline and evaluate QE artefacts using quantifiable metrics. The approach combines LLM-driven generation, reverse generation , and iterative refinement guided by rubrics technique for clarity, completeness, consistency, and testability. Experimental results across 12 projects show that reverse-generated artefacts can outperform low-quality inputs and maintain high standards when inputs are strong. The framework enables scalable, reliable QE artefact validation, bridging automation with accountability.",2025,ArXiv.org,String A
10,The Role of Machine Learning and Large Language Models in Software Testing and Validation,Yassine Hachaïchi|Mohamed Amine Ouerghi,,2025,,String A
11,Enhancing Legal Compliance and Regulation Analysis with Large Language Models,Shabnam Hassaniahari,"Context: Software is increasingly pervasive in regulated industries, where compliance with regulations is crucial. Driven by pressing concerns such as data protection and privacy, certain industries, including healthcare, have incorporated specific measures into their compliance frameworks to better address the role of software. Nonetheless, many industries, despite their growing reliance on digital monitoring and automation, have yet to give adequate consideration to software, as the pressure to adapt has not been as strong. This thesis focuses on two domains with complementary challenges: (i) food safety, with regulations that remain largely technology-neutral and therefore demand novel methods to connect legal provisions with systems and software requirements, and (ii) privacy and policy, where provisions already exhibit a close connection to software and systems, but compliance checking methods could be further improved. Problem: The introduction of Industry 4.0 technologies, particularly the Internet of Things (IoT), has significantly transformed the food industry, enabling real-time monitoring and control of critical processes. Yet, food-safety regulations, like many others, remain deliberately technology-agnostic by design to ensure long-term relevance, promote innovation, and maintain market neutrality. This creates a gap between regulations and modern food-safety systems, which increasingly depend on software. Bridging this gap requires systematic identification and operationalization of requirements-related provisions within regulations. In parallel, current approaches to legal compliance checking, especially in the privacy and policy domains, often rely on sentences as the unit of analysis, apply coarse-grained classification strategies, and do not automatically provide justification for compliance decisions. These approaches also demand significant manual effort, which limits their practical usefulness for stakeholders who must demonstrate and maintain compliance. Approach: This thesis develops and empirically evaluates a suite of methods that Large Language Models (LLMs) to address these challenges. Contributions include: (1) a Grounded Theory (GT) study of food-safety regulations, resulting in a conceptual characterization of food-safety concepts closely related to systems and software requirements; (2) an empirical evaluation of four families of LLMs (BERT, GPT, Llama, and Mixtral) for automatic classification of requirements-related provisions in food-safety regulations; (3) a study of compliance checking for privacy and policy regulations (specifically General Data Protection Regulation (GDPR) Data Processing Agreements), assessing the effectiveness of state-of-the-art LLMs (GPT, Mixtral, Mistral, Zephyr, Phi), and demonstrating the benefits of paragraph-level context and the provision of explanation and justification; and (4) a quasi-experimental study on deriving Behavior-Driven Development (BDD) artifacts from regulations using LLMs (Llama and CLaude). Outcomes: The thesis advances regulatory analysis and compliance checking by contributing (1) a conceptual model of requirements-related food-safety concepts and the resulting annotated dataset; (2) LLM-based pipelines for classification of legal provisions and compliance checking of regulatory artifacts; and (3) empirical evidence from a quasi experiment on translating legal provisions into behavioural specifications.",2026,University of Ottawa - Library,String A
